month_date,state,maker,powertrain,registrations
2026-03-01,Andhra Pradesh,VINFAST AUTO INDIA PVT LTD,Electric (EV),12
2026-04-01,Andhra Pradesh,VINFAST AUTO INDIA PVT LTD,Electric (EV),46
2026-05-01,Andhra Pradesh,VINFAST AUTO INDIA PVT LTD,Electric (EV),64
2026-06-01,Andhra Pradesh,VINFAST AUTO INDIA PVT LTD,Electric (EV),57
2026-05-01,Andhra Pradesh,VOLVO AUTO INDIA PVT LTD,Electric (EV),3
2026-06-01,Andhra Pradesh,VOLVO AUTO INDIA PVT LTD,Electric (EV),1
2026-01-01,Arunachal Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1
2026-02-01,Arunachal Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),2
2026-03-01,Arunachal Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1
2026-06-01,Arunachal Pradesh,JSW MG MOTOR INDIA PVT LTD,Electric (EV),1
2026-01-01,Arunachal Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),3
2026-03-01,Arunachal Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),2
2026-04-01,Arunachal Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),3
2026-05-01,Arunachal Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1
2026-06-01,Arunachal Pradesh,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1
2026-01-01,Arunachal Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),1
2026-05-01,Arunachal Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),1
2026-06-01,Arunachal Pradesh,MARUTI SUZUKI INDIA LTD,Electric (EV),2
2026-01-01,Arunachal Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),2
2026-02-01,Arunachal Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),2
2026-03-01,Arunachal Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),4
2026-04-01,Arunachal Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),5
2026-06-01,Arunachal Pradesh,TATA PASSENGER ELECTRIC MOBILITY LTD,Electric (EV),2
2026-06-01,Assam,BMW INDIA PVT LTD,Electric (EV),1
2026-02-01,Assam,HYUNDAI MOTOR INDIA LTD,Electric (EV),1
2026-03-01,Assam,HYUNDAI MOTOR INDIA LTD,Electric (EV),1
2026-05-01,Assam,HYUNDAI MOTOR INDIA LTD,Electric (EV),2
2026-01-01,Assam,JSW MG MOTOR INDIA PVT LTD,Electric (EV),10
2026-02-01,Assam,JSW MG MOTOR INDIA PVT LTD,Electric (EV),11
2026-03-01,Assam,JSW MG MOTOR INDIA PVT LTD,Electric (EV),19
2026-04-01,Assam,JSW MG MOTOR INDIA PVT LTD,Electric (EV),7
2026-05-01,Assam,JSW MG MOTOR INDIA PVT LTD,Electric (EV),25
2026-06-01,Assam,JSW MG MOTOR INDIA PVT LTD,Electric (EV),11
2026-03-01,Assam,KIA INDIA PRIVATE LIMITED,Electric (EV),1
2026-04-01,Assam,KIA INDIA PRIVATE LIMITED,Electric (EV),1
2026-01-01,Assam,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),3
2026-02-01,Assam,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),3
2026-03-01,Assam,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),3
2026-04-01,Assam,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),1
2026-05-01,Assam,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),13
2026-06-01,Assam,MAHINDRA ELECTRIC AUTOMOBILE LTD,Electric (EV),10
2026-01-01,Assam,MARUTI SUZUKI INDIA LTD,Electric (EV),5
2026-02-01,Assam,MARUTI SUZUKI INDIA LTD,Electric (EV),7
