Month,State,Maker (legal entity),Powertrain,Registrations,Brand,Parent Group,Origin Country,Region,State Code,State or UT,Map Location,Month Name,Month Number,Quarter,Days Covered,Is Partial Month,Is EV
2026-05-01,Punjab,BMW INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,12,BMW,BMW Group,Germany,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,BMW INDIA PVT LTD,Petrol/Diesel/CNG/Hybrid,1,BMW,BMW Group,Germany,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-02-01,Punjab,FORCE MOTORS LIMITED,Petrol/Diesel/CNG/Hybrid,4,Force,Force Motors,India,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,FORCE MOTORS LIMITED,Petrol/Diesel/CNG/Hybrid,1,Force,Force Motors,India,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-05-01,Punjab,FORCE MOTORS LIMITED,Petrol/Diesel/CNG/Hybrid,2,Force,Force Motors,India,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-01-01,Punjab,HONDA CARS INDIA LTD,Petrol/Diesel/CNG/Hybrid,277,Honda,Honda,Japan,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,HONDA CARS INDIA LTD,Petrol/Diesel/CNG/Hybrid,254,Honda,Honda,Japan,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,HONDA CARS INDIA LTD,Petrol/Diesel/CNG/Hybrid,233,Honda,Honda,Japan,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,HONDA CARS INDIA LTD,Petrol/Diesel/CNG/Hybrid,257,Honda,Honda,Japan,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
2026-05-01,Punjab,HONDA CARS INDIA LTD,Petrol/Diesel/CNG/Hybrid,188,Honda,Honda,Japan,North,IN-PB,State,"Punjab, India",May,5,Q2,31,False,False
2026-06-01,Punjab,HONDA CARS INDIA LTD,Petrol/Diesel/CNG/Hybrid,111,Honda,Honda,Japan,North,IN-PB,State,"Punjab, India",Jun,6,Q2,17,True,False
2026-01-01,Punjab,HYUNDAI MOTOR INDIA LTD,Petrol/Diesel/CNG/Hybrid,3499,Hyundai,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Jan,1,Q1,31,False,False
2026-02-01,Punjab,HYUNDAI MOTOR INDIA LTD,Petrol/Diesel/CNG/Hybrid,2391,Hyundai,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Feb,2,Q1,28,False,False
2026-03-01,Punjab,HYUNDAI MOTOR INDIA LTD,Petrol/Diesel/CNG/Hybrid,2210,Hyundai,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Mar,3,Q1,31,False,False
2026-04-01,Punjab,HYUNDAI MOTOR INDIA LTD,Petrol/Diesel/CNG/Hybrid,2068,Hyundai,Hyundai,South Korea,North,IN-PB,State,"Punjab, India",Apr,4,Q2,30,False,False
